,topic,query,rank,wid,batch,duration,EndDate,query_mean
81810992886,213,what is carpal tunnel syndrome,1,A2LDVDDTFY3LQ9,red,461,2022-02-11 16:34:17,1.9333333333333333
85301543003,213,what is carpal tunnel syndrome,4,A1NIKHUA79SWGD,red,144,2022-02-14 14:32:41,1.9333333333333333
87131918938,213,what is carpal tunnel syndrome,1,A15LPXZLC6NUHT,red,299,2022-02-13 14:14:41,1.9333333333333333
87418143393,213,what is carpal tunnel syndrome,2,A3O5RKGH6VB19C,red,110,2022-02-14 14:26:42,1.9333333333333333
87550955025,213,what is carpal tunnel syndrome,4,A1AIMKA54UBYIQ,red,198,2022-02-14 14:30:16,1.9333333333333333
88725209033,213,what is carpal tunnel syndrome,2,A14LXHJAWRQWR6,red,199,2022-02-14 15:06:18,1.9333333333333333
88879844020,213,what is carpal tunnel syndrome,4,A1ZDR2UN7M92LI,red,534,2022-02-14 14:40:17,1.9333333333333333
89286010344,213,what is carpal tunnel syndrome,2,AWVLT2L5AP873,red,145,2022-02-14 14:08:35,1.9333333333333333
90360995021,213,what is carpal tunnel syndrome,2,AFU00NU09CFXE,red,222,2022-02-09 11:54:17,1.9333333333333333
91144424206,213,what is carpal tunnel syndrome,1,AUB2Y2EREGBUZ,red,214,2022-02-11 10:48:16,1.9333333333333333
91198495172,213,what is carpal tunnel syndrome,2,A20NJGHYKL73LC,red,216,2022-02-12 18:09:22,1.9333333333333333
91225263345,213,what is carpal tunnel syndrome,1,A150MDVC0C92OT,red,313,2022-02-14 14:16:26,1.9333333333333333
91630101620,213,what is carpal tunnel syndrome,2,A2EXM21XS6NZV5,red,169,2022-02-14 14:28:45,1.9333333333333333
93026743906,213,what is carpal tunnel syndrome,2,A1ATL3G98SFW4V,red,186,2022-02-14 15:13:31,1.9333333333333333
93155764718,213,what is carpal tunnel syndrome,1,A1P6LFEAY9MWAY,red,149,2022-02-14 14:49:13,1.9333333333333333
94294920470,213,what is carpal tunnel syndrome,1,A1FWICEOA9SNCB,red,654,2022-02-10 22:14:42,1.9333333333333333
94720094730,213,what is carpal tunnel syndrome,3,A1WTUFTRMUN5IR,red,117,2022-02-13 17:23:26,1.9333333333333333
97354941759,213,what is carpal tunnel syndrome,4,A1VMPZVVVZUCS4,red,169,2022-02-10 01:34:42,1.9333333333333333
99458784954,213,what is carpal tunnel syndrome,1,A13FTIHWW9GE8X,red,242,2022-02-14 14:07:38,1.9333333333333333
12404386894,213,carpal tunnel syndrome wiki,3,A39MKVROUZ1UWR,red,204,2022-02-14 14:23:14,2.8777777777777778
12734195590,213,carpal tunnel syndrome wiki,2,A1I0DV4B4MFQCL,red,286,2022-02-14 13:59:06,2.8777777777777778
13250011561,213,carpal tunnel syndrome wiki,4,A23BWWRR7J5XLS,red,197,2022-02-13 13:04:05,2.8777777777777778
14107062271,213,carpal tunnel syndrome wiki,3,A1CB72B51L7TKE,red,211,2022-02-14 14:42:31,2.8777777777777778
17248459875,213,carpal tunnel syndrome wiki,2,A12R2U6TBB3OOG,red,299,2022-02-10 01:36:09,2.8777777777777778
20487957848,213,carpal tunnel syndrome wiki,5,APRHR60T52KR9,red,454,2022-02-14 15:15:16,2.8777777777777778
21415754272,213,carpal tunnel syndrome wiki,5,AOOLS8280CL0Z,red,570,2022-02-14 14:33:56,2.8777777777777778
21639419868,213,carpal tunnel syndrome wiki,4,A3UJX60MALFMW0,red,248,2022-02-13 06:07:24,2.8777777777777778
21930805312,213,carpal tunnel syndrome wiki,3,A3F8K7ZV8AX8UR,red,157,2022-02-12 11:20:43,2.8777777777777778
22297096890,213,carpal tunnel syndrome wiki,3,A3D8ZG1VV5FO35,red,435,2022-02-13 00:50:24,2.8777777777777778
24383332012,213,carpal tunnel syndrome wiki,4,A2ELXYKRPPGRPB,red,133,2022-02-14 14:42:39,2.8777777777777778
24636013368,213,carpal tunnel syndrome wiki,5,AP3TMAKHW9G4P,red,784,2022-02-10 21:21:41,2.8777777777777778
26626279910,213,carpal tunnel syndrome wiki,4,A33QI63NVR8CUO,red,204,2022-02-14 14:32:50,2.8777777777777778
27262946246,213,carpal tunnel syndrome wiki,3,A1E7H04DK5HXDL,red,263,2022-02-11 10:26:09,2.8777777777777778
29515010323,213,carpal tunnel syndrome wiki,3,A1E235KE3CSO7H,red,508,2022-02-14 14:15:36,2.8777777777777778
29592458207,213,carpal tunnel syndrome wiki,3,A1V7M45EFSZCJ1,red,260,2022-02-13 01:09:01,2.8777777777777778
36614844345,213,carpal tunnel syndrome wiki,4,A24BRTWG07T53Z,red,549,2022-02-10 19:22:49,2.8777777777777778
36924604449,213,carpal tunnel syndrome wiki,4,A1IL81UMEC9OJI,red,759,2022-02-14 14:56:34,2.8777777777777778
