rid,topic,query,rate,wid,batch,duration,query_mean
380028901086,213,carpal tunnel syndrome wiki,2.0,AT0COJ1G23ZB0,red,116,3.7945205479452055
381111854501,213,carpal tunnel syndrome wiki,3.0,A1YH2I4Y2SYAXJ,red,284,3.7945205479452055
382116238889,213,carpal tunnel syndrome wiki,5.0,A2R75YFKVALBXE,red,306,3.7945205479452055
418493978609,213,carpal tunnel syndrome wiki,5.0,A1EN3FW93BSXQQ,red,134,3.7945205479452055
419131372892,213,carpal tunnel syndrome wiki,5.0,A1Q56N80RJLQ7S,red,198,3.7945205479452055
432526610116,213,carpal tunnel syndrome wiki,4.0,AGZ0KJNGENZ1J,red,295,3.7945205479452055
458510000118,213,carpal tunnel syndrome wiki,5.0,A3AJR1PM02424Y,red,192,3.7945205479452055
488226930354,213,carpal tunnel syndrome wiki,4.0,A39S4DA571UJ1Y,red,188,3.7945205479452055
490424392744,213,carpal tunnel syndrome wiki,3.0,A2OVX9UW5WANQE,red,164,3.7945205479452055
493578315572,213,carpal tunnel syndrome wiki,3.0,A2NEFRREWF33YP,red,201,3.7945205479452055
505616888962,213,carpal tunnel syndrome wiki,3.0,A314XJY8V1YL12,red,297,3.7945205479452055
506562046403,213,carpal tunnel syndrome wiki,3.0,AXY0D2AMLKE2A,red,541,3.7945205479452055
569535048143,213,carpal tunnel syndrome wiki,4.0,A23RL1X2KB6Q34,red,274,3.7945205479452055
570338244223,213,carpal tunnel syndrome wiki,3.0,A27VK38SRSSHV3,red,179,3.7945205479452055
574492564378,213,carpal tunnel syndrome wiki,4.0,A3MNL6RIME0845,red,324,3.7945205479452055
585730107151,213,carpal tunnel syndrome wiki,4.0,A2KE139TQ886T3,red,206,3.7945205479452055
597752541396,213,carpal tunnel syndrome wiki,4.0,AEQI66Y2JSY05,red,572,3.7945205479452055
612159188510,213,carpal tunnel syndrome wiki,5.0,A2S5GPVIUV8RJI,red,173,3.7945205479452055
617820806615,213,carpal tunnel syndrome wiki,3.0,AIEKCWYZTS41V,red,222,3.7945205479452055
619234352558,213,carpal tunnel syndrome wiki,5.0,A9HQ3E0F2AGVO,red,163,3.7945205479452055
625604760111,213,carpal tunnel syndrome wiki,3.0,A3TBG0S2IEBVHU,red,166,3.7945205479452055
639329347037,213,carpal tunnel syndrome wiki,5.0,A3LVLZS8S41ZD7,red,338,3.7945205479452055
650935897859,213,carpal tunnel syndrome wiki,4.0,A28AXX4NCWPH1F,red,199,3.7945205479452055
669006662722,213,carpal tunnel syndrome wiki,3.0,ALJ70B2J04YR7,red,184,3.7945205479452055
676019776589,213,carpal tunnel syndrome wiki,3.0,A34EHWOYRBL6OZ,red,219,3.7945205479452055
679304572986,213,carpal tunnel syndrome wiki,4.0,A2JP9IKRHNLRPI,red,106,3.7945205479452055
683046185830,213,carpal tunnel syndrome wiki,5.0,A107RJSS561Y7R,red,186,3.7945205479452055
690392653224,213,carpal tunnel syndrome wiki,4.0,A3APKUC67F9IMW,red,804,3.7945205479452055
695835081627,213,carpal tunnel syndrome wiki,3.0,A3G8OON0TDPN1E,red,191,3.7945205479452055
711289959284,213,carpal tunnel syndrome wiki,2.0,A3EYRDEQ7CXUMN,red,174,3.7945205479452055
716514250123,213,carpal tunnel syndrome wiki,4.0,A2FNQQTVE32XD9,red,178,3.7945205479452055
751343194767,213,carpal tunnel syndrome wiki,5.0,ADCXF6QY5T046,red,306,3.7945205479452055
751472408929,213,carpal tunnel syndrome wiki,2.0,A292TFDMNVS0TP,red,750,3.7945205479452055
753089417400,213,carpal tunnel syndrome wiki,3.0,A1G187YBG0DVMQ,red,126,3.7945205479452055
755804346222,213,carpal tunnel syndrome wiki,3.0,A2ZZW6KME1FUDU,red,273,3.7945205479452055
766419729660,213,carpal tunnel syndrome wiki,4.0,A2VUF0V7HT51Q3,red,283,3.7945205479452055
790853952011,213,carpal tunnel syndrome wiki,4.0,A1VVR9MA1P9HWJ,red,249,3.7945205479452055
797340451437,213,carpal tunnel syndrome wiki,5.0,AGB7LZLNYF6YF,red,146,3.7945205479452055
800316371768,213,carpal tunnel syndrome wiki,5.0,A1H198MRIM37T1,red,354,3.7945205479452055
802334465831,213,carpal tunnel syndrome wiki,3.0,A5P12YJP805RG,red,136,3.7945205479452055
